folio,leaf_num,tombId,folio_url,tomb_text,folio_text
b1.001r,001r,b1,http://ica.themorgan.org/icaimages/1/b1.001r.jpg,Chapelet de virginitéFrance/ Loire River Valley/ ca/ 1475MS B/1 fol/ 1r,Initial A decorated with lily//Margins decorated with lilies and scrolling foliage against gold background//In lower margin/ blank escutcheon surmounted by crown/
b1.007r,007r,b1,http://ica.themorgan.org/icaimages/1/b1.007r.jpg,Chapelet de virginitéFrance/ Loire River Valley/ ca/ 1475MS B/1 fol/ 7r,Initial A decorated with viola//Margins decorated with violas and scrolling foliage against gold background/
b1.010v,010v,b1,http://ica.themorgan.org/icaimages/1/b1.010v.jpg,Chapelet de virginitéFrance/ Loire River Valley/ ca/ 1475MS B/1 fol/ 10v,Initial L decorated with rose//Margins decorated with roses and scrolling foliage against gold background/
b1.020r,020r,b1,http://ica.themorgan.org/icaimages/1/b1.020r.jpg,Chapelet de virginitéFrance/ Loire River Valley/ ca/ 1475MS B/1 fol/ 20r,Initial L decorated with marigold//Margins decorated with marigolds and scrolling foliage against gold background/
b1.027v,027v,b1,http://ica.themorgan.org/icaimages/1/b1.027v.jpg,Chapelet de virginitéFrance/ Loire River Valley/ ca/ 1475MS B/1 fol/ 27v,Initial A decorated with Lady’s Bedstraw or Sweet Woodruff//Margins decorated with Lady’s Bedstraw or Sweet Woodruffand scrolling foliage against gold background/
b1.039v,039v,b1,http://ica.themorgan.org/icaimages/1/b1.039v.jpg,Chapelet de virginitéFrance/ Loire River Valley/ ca/ 1475MS B/1 fol/ 39v,Lower margin:/Unidentified heraldry of gules/ a lion passant guardant or/ armed and langued argent//Miniature in lower margin at end of text of the Chapelet de Virginité/
b12.002r,002r,b12,http://ica.themorgan.org/icaimages/1/b12.002r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 2r,
b12.002v,002v,b12,http://ica.themorgan.org/icaimages/1/b12.002v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 2v,
b12.003v,003v,b12,http://ica.themorgan.org/icaimages/1/b12.003v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 3v,
b12.004r,004r,b12,http://ica.themorgan.org/icaimages/1/b12.004r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 4r,
b12.004v,004v,b12,http://ica.themorgan.org/icaimages/1/b12.004v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 4v,
b12.005r,005r,b12,http://ica.themorgan.org/icaimages/1/b12.005r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 5r,
b12.005v,005v,b12,http://ica.themorgan.org/icaimages/1/b12.005v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 5v,
b12.006r,006r,b12,http://ica.themorgan.org/icaimages/1/b12.006r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 6r,
b12.006v,006v,b12,http://ica.themorgan.org/icaimages/1/b12.006v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 6v,
b12.007r,007r,b12,http://ica.themorgan.org/icaimages/1/b12.007r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 7r,
b12.007v,007v,b12,http://ica.themorgan.org/icaimages/1/b12.007v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 7v,
b12.008r,008r,b12,http://ica.themorgan.org/icaimages/1/b12.008r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 8r,
b12.008v,008v,b12,http://ica.themorgan.org/icaimages/1/b12.008v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 8v,
b12.009r,009r,b12,http://ica.themorgan.org/icaimages/1/b12.009r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 9r,
b12.009v,009v,b12,http://ica.themorgan.org/icaimages/1/b12.009v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 9v,
b12.010r,010r,b12,http://ica.themorgan.org/icaimages/1/b12.010r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 10r,
b12.010v,010v,b12,http://ica.themorgan.org/icaimages/1/b12.010v.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 10v,
b12.011r,011r,b12,http://ica.themorgan.org/icaimages/1/b12.011r.jpg,Kalendarium cum tabulis planetarum et eclipsumEngland/ ca/ 1425MS B/12 fol/ 11r,
